trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
500,False,"{'a': 0.2, 'e': 0.018462751666353888}",30,10,40.48352934077795,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
501,False,"{'a': 0.2, 'e': 0.01831563888873418}",25,19,12.04377112724865,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
502,False,"{'a': 0.2, 'e': 0.0181696983182551}",25,3,37.689240963554845,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
503,False,"{'a': 0.2, 'e': 0.01802492061467033}",25,20,9.43753049329868,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
504,False,"{'a': 0.2, 'e': 0.017881296512157415}",20,15,11.635858752195361,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
505,False,"{'a': 0.2, 'e': 0.017738816818724773}",20,12,13.237791858683389,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
506,False,"{'a': 0.2, 'e': 0.017597472415623393}",20,5,28.251094024830465,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
507,False,"{'a': 0.2, 'e': 0.01745725425676323}",25,17,15.81181360532011,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
508,False,"{'a': 0.2, 'e': 0.017318153368134255}",20,13,14.769559521658639,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
509,False,"{'a': 0.2, 'e': 0.017180160847232114}",25,14,23.186788017618955,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
510,False,"{'a': 0.2, 'e': 0.017043267862488373}",20,11,7.424879447763802,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
511,False,"{'a': 0.2, 'e': 0.01690746565270528}",25,6,30.53925392039904,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
512,False,"{'a': 0.2, 'e': 0.016772745526495048}",20,0,26.167351921594364,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
513,False,"{'a': 0.2, 'e': 0.016639098861723624}",20,11,16.90077935918252,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
514,False,"{'a': 0.2, 'e': 0.016506517104958845}",30,18,18.89986483152163,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
515,False,"{'a': 0.2, 'e': 0.01637499177092302}",20,1,25.76339396847618,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
516,False,"{'a': 0.2, 'e': 0.01624451444194987}",20,12,14.94837567934481,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
517,False,"{'a': 0.2, 'e': 0.016115076767445814}",30,17,24.074509138159748,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
518,False,"{'a': 0.2, 'e': 0.0159866704633555}",30,20,20.393746951247383,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
519,False,"{'a': 0.2, 'e': 0.015859287311631637}",25,18,11.723639783640898,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
520,False,"{'a': 0.2, 'e': 0.015732919159709032}",25,18,13.87945587605878,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
521,False,"{'a': 0.2, 'e': 0.01560755791998283}",30,16,24.654703158313964,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
522,False,"{'a': 0.2, 'e': 0.015483195569290899}",30,11,38.63046874950147,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
523,False,"{'a': 0.2, 'e': 0.015359824148400343}",25,13,22.987843298903385,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
524,False,"{'a': 0.2, 'e': 0.015237435761498117}",30,12,32.695949535754856,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
525,False,"{'a': 0.2, 'e': 0.015116022575685681}",25,15,16.34781220672063,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
526,False,"{'a': 0.2, 'e': 0.014995576820477703}",30,7,-47.401127691403126,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 2}",1
527,False,"{'a': 0.2, 'e': 0.014876090787304737}",35,14,39.24604490503165,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
528,False,"{'a': 0.2, 'e': 0.014757556829019875}",20,8,20.77467989905818,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
529,False,"{'a': 0.2, 'e': 0.014639967359409327}",25,18,16.341926260609174,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
530,False,"{'a': 0.2, 'e': 0.0145233148527069}",20,10,21.003744567540785,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
531,False,"{'a': 0.2, 'e': 0.01440759184311235}",30,19,21.87311695130024,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
532,False,"{'a': 0.2, 'e': 0.014292790924313561}",20,0,32.107996261801524,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
533,False,"{'a': 0.2, 'e': 0.014178904749012544}",30,12,31.94881939594995,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
534,False,"{'a': 0.2, 'e': 0.014065926028455205}",30,14,29.32880548840164,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
535,False,"{'a': 0.2, 'e': 0.013953847531964868}",25,7,31.7189781255053,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
536,False,"{'a': 0.2, 'e': 0.013842662086479501}",25,14,19.852479097984766,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
537,False,"{'a': 0.2, 'e': 0.01373236257609264}",20,14,13.330940216771127,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
538,False,"{'a': 0.2, 'e': 0.013622941941597973}",30,19,22.520394751595667,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
539,False,"{'a': 0.2, 'e': 0.013514393180037542}",25,12,24.11780081066427,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
540,False,"{'a': 0.2, 'e': 0.013406709344253556}",20,8,20.504535223054464,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
541,False,"{'a': 0.2, 'e': 0.013299883542443767}",20,13,14.90816906716649,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
542,False,"{'a': 0.2, 'e': 0.0131939089377204}",20,8,23.837871329075632,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
543,False,"{'a': 0.2, 'e': 0.013088778747672577}",25,15,20.65623592019514,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
544,False,"{'a': 0.2, 'e': 0.012984486243932251}",20,14,10.435195396167309,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
545,False,"{'a': 0.2, 'e': 0.012881024751743584}",20,14,9.715764375707376,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
546,False,"{'a': 0.2, 'e': 0.01277838764953576}",35,19,25.12483924458257,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
547,False,"{'a': 0.2, 'e': 0.012676568368499208}",25,15,20.20621915027125,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
548,False,"{'a': 0.2, 'e': 0.012575560392165182}",25,8,29.653354057773313,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
549,False,"{'a': 0.2, 'e': 0.012475357255988723}",25,10,24.349395646808578,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
550,False,"{'a': 0.2, 'e': 0.012375952546934911}",30,16,24.404310927783804,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
551,False,"{'a': 0.2, 'e': 0.012277339903068436}",30,20,17.41996652007549,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
552,False,"{'a': 0.2, 'e': 0.012179513013146433}",25,13,24.972014812264153,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
553,False,"{'a': 0.2, 'e': 0.012082465616214554}",20,11,14.701114517706186,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
554,False,"{'a': 0.2, 'e': 0.01198619150120627}",25,15,-25.095664653227846,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
555,False,"{'a': 0.2, 'e': 0.011890684506545358}",20,8,21.935976237125498,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
556,False,"{'a': 0.2, 'e': 0.011795938519751562}",30,10,36.83616228495673,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
557,False,"{'a': 0.2, 'e': 0.011701947477049383}",30,23,13.696066004052755,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
558,False,"{'a': 0.2, 'e': 0.011608705362980011}",25,14,16.349152904029648,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
559,False,"{'a': 0.2, 'e': 0.011516206210016314}",20,15,8.732510381709439,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
560,False,"{'a': 0.2, 'e': 0.011424444098180933}",25,13,19.564056774727845,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
561,False,"{'a': 0.2, 'e': 0.011333413154667387}",20,10,17.922425165829726,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
562,False,"{'a': 0.2, 'e': 0.011243107553464221}",20,13,15.033751698010132,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
563,False,"{'a': 0.2, 'e': 0.011153521514982131}",20,6,24.070000591098424,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
564,False,"{'a': 0.2, 'e': 0.011064649305684076}",20,3,27.885002802873075,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
565,False,"{'a': 0.2, 'e': 0.010976485237718327}",20,10,18.674826954224347,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
566,False,"{'a': 0.2, 'e': 0.01088902366855444}",25,17,12.867711139098727,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
567,False,"{'a': 0.2, 'e': 0.010802259000622138}",20,16,7.507554022624906,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
568,False,"{'a': 0.2, 'e': 0.01071618568095305}",30,8,36.204815694372385,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
569,False,"{'a': 0.2, 'e': 0.010630798200825346}",25,11,26.813050852887244,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
570,False,"{'a': 0.2, 'e': 0.010546091095411146}",20,3,22.590186819901678,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
571,False,"{'a': 0.2, 'e': 0.010462058943426795}",35,18,36.15056502108986,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
572,False,"{'a': 0.2, 'e': 0.010378696366785877}",20,14,4.748000910302587,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
573,False,"{'a': 0.2, 'e': 0.010295998030255039}",25,16,17.22882184905942,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
574,False,"{'a': 0.2, 'e': 0.01021395864111251}",20,10,18.194373207869504,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
575,False,"{'a': 0.2, 'e': 0.010132572948809385}",20,3,29.880839446970946,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
576,False,"{'a': 0.2, 'e': 0.010051835744633576}",20,11,15.869518461611506,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
577,False,"{'a': 0.2, 'e': 0.009971741861376457}",20,8,25.621995548221893,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,18,14.617625749744661,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,18,22.903503616598886,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
